City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lagoa,PT,2021-04-30 19:16:51,39.05,-27.9833,58.21,63,100,4.94
1,New Norfolk,AU,2021-04-30 19:18:12,-42.7826,147.0587,48.0,87,12,3.04
2,Georgetown,MY,2021-04-30 19:15:56,5.4112,100.3354,77.0,94,40,1.14
3,Saint-Philippe,RE,2021-04-30 19:16:43,-21.3585,55.7679,75.2,83,0,6.91
4,Stillwater,US,2021-04-30 19:17:34,36.1156,-97.0584,80.6,29,1,3.44
5,Hilo,US,2021-04-30 19:15:09,19.7297,-155.09,80.6,61,20,5.75
6,Kropotkin,RU,2021-04-30 19:19:14,45.4375,40.5756,60.01,79,1,7.36
7,Hithadhoo,MV,2021-04-30 19:18:39,-0.6,73.0833,84.09,73,95,7.9
8,Jinchang,CN,2021-04-30 19:20:26,38.4953,102.1739,63.27,17,100,7.92
9,Jamestown,US,2021-04-30 19:13:22,42.097,-79.2353,46.0,65,90,24.16
10,Ushuaia,AR,2021-04-30 19:18:01,-54.8,-68.3,41.0,81,75,1.16
11,Ilulissat,GL,2021-04-30 19:15:31,69.2167,-51.1,39.2,56,20,3.44
12,Nouadhibou,MR,2021-04-30 19:15:10,20.931,-17.0347,71.6,78,0,16.11
13,Busselton,AU,2021-04-30 19:14:51,-33.65,115.3333,51.01,98,84,1.01
14,Porbandar,IN,2021-04-30 19:20:27,21.6422,69.6093,83.35,71,100,8.93
15,Kapaa,US,2021-04-30 19:17:54,22.0752,-159.319,75.2,73,75,13.8
16,Albany,US,2021-04-30 19:17:58,42.6001,-73.9662,53.01,69,100,3.0
17,Mahebourg,MU,2021-04-30 19:18:24,-20.4081,57.7,77.0,83,20,11.5
18,Karratha,AU,2021-04-30 19:20:27,-20.7377,116.8463,80.56,46,14,7.56
19,San Rafael,AR,2021-04-30 19:20:28,-34.6177,-68.3301,73.81,35,100,13.85
20,Kemijarvi,FI,2021-04-30 19:20:28,66.7131,27.4306,20.61,89,100,4.23
21,Nikolskoye,RU,2021-04-30 19:18:05,59.7035,30.7861,41.0,45,0,4.47
22,Lagunas,PE,2021-04-30 19:20:28,-5.2269,-75.6753,88.54,46,56,5.97
23,Talnakh,RU,2021-04-30 19:17:01,69.4865,88.3972,17.49,81,13,2.86
24,Bluff,NZ,2021-04-30 19:15:44,-46.6,168.3333,41.0,92,86,1.99
25,Barrow,US,2021-04-30 19:16:13,71.2906,-156.7887,19.4,93,90,3.65
26,Qaanaaq,GL,2021-04-30 19:15:36,77.484,-69.3632,33.04,68,94,5.97
27,Puerto Ayora,EC,2021-04-30 19:18:25,-0.7393,-90.3518,82.4,69,40,13.8
28,Magdagachi,RU,2021-04-30 19:20:29,53.45,125.8,32.92,76,100,3.83
29,Kruisfontein,ZA,2021-04-30 19:17:59,-34.0033,24.7314,55.99,74,0,1.01
30,Tambun,ID,2021-04-30 19:20:29,-6.2641,107.0712,81.0,89,40,3.44
31,Arraial Do Cabo,BR,2021-04-30 19:18:03,-22.9661,-42.0278,77.0,69,20,5.75
32,Nacala,MZ,2021-04-30 19:20:30,-14.5428,40.6728,76.12,87,0,2.48
33,Puerto Carreno,CO,2021-04-30 19:20:30,6.189,-67.4859,80.91,70,99,4.23
